Labels,MOF 1 PBS Ar 420 nm 400us Delta OD 10 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

10360.000,-7.48502137E-3,
1.04E04,-2.26223865E-3,
10440.000,8.15536175E-3,
10480.000,-3.64442193E-3,
10520.000,3.40614934E-4,
10560.000,-7.57660065E-3,
1.06E04,-3.62554286E-3,
10640.000,-9.37712903E-4,
10680.000,-3.46073136E-3,
10720.000,-1.25574935E-2,
10760.000,6.83048740E-3,
1.08E04,8.15545861E-3,
10840.000,9.49236471E-3,
10880.000,1.62157696E-3,
10920.000,8.12223274E-3,
10960.000,2.93495809E-3,
1.1E04,-6.30314322E-3,
11040.000,-4.92599281E-3,
11080.000,5.50877675E-3,
11120.000,-1.13706058E-2,
11160.000,1.74539499E-2,
1.12E04,-1.41723678E-2,
11240.000,1.20874904E-2,
11280.000,2.92791310E-3,
11320.000,-9.91014065E-4,
11360.000,5.55245951E-3,
1.14E04,5.56132523E-3,
11440.000,-4.90339473E-3,
11480.000,1.61257992E-3,
11520.000,1.61574478E-3,
11560.000,-1.02433879E-2,
1.16E04,-2.30628089E-3,
11640.000,8.22297577E-3,
11680.000,1.73643325E-2,
11720.000,-9.48303961E-4,
11760.000,-6.09164825E-3,
1.18E04,-4.88078594E-3,
11840.000,-2.19046837E-3,
11880.000,1.06701739E-2,
11920.000,-1.05729164E-3,
11960.000,1.63913833E-3,
1.2E04,-6.19605323E-3,
12040.000,-2.29151198E-3,
12080.000,-2.32113968E-3,
12120.000,-2.26228684E-3,
12160.000,-9.80215962E-4,
1.22E04,1.06702708E-2,
12240.000,-8.94293841E-3,
12280.000,-1.00892922E-2,
12320.000,-2.27687997E-3,
12360.000,-4.90344269E-3,
1.24E04,-3.60673037E-3,
12440.000,-3.55110993E-3,
12480.000,2.93391244E-3,
12520.000,-7.54584093E-3,
12560.000,1.59914903E-2,
1.26E04,6.76818425E-3,
12640.000,-2.27687997E-3,
12680.000,9.34985932E-3,
12720.000,5.51728392E-3,
12760.000,-9.80215962E-4,
1.28E04,2.92800926E-3,
12840.000,-6.06601732E-3,
12880.000,-7.42482860E-3,
12920.000,-6.35767169E-3,
12960.000,-1.40711972E-2,
1.3E04,1.63337053E-3,
13040.000,-3.64437257E-3,
13080.000,-7.51536479E-3,
13120.000,6.86872331E-3,
13160.000,1.63050916E-3,
1.32E04,6.79278746E-3,
13240.000,5.56137459E-3,
13280.000,1.33147789E-2,
13320.000,-4.94877668E-3,
13360.000,-2.19065906E-3,
1.34E04,8.02503992E-3,
13440.000,1.32196918E-2,
13480.000,1.35771977E-2,
13520.000,-1.00893397E-2,
13560.000,-2.21902691E-3,
1.36E04,-6.22265739E-3,
13640.000,-7.30666751E-3,
13680.000,-6.24922570E-3,
13720.000,-6.24927413E-3,
13760.000,4.22071666E-3,
1.38E04,1.06463777E-2,
13840.000,-8.87311809E-3,
13880.000,6.84312358E-3,
13920.000,4.24515968E-3,
13960.000,4.25012736E-3,
1.4E04,1.63616682E-3,
14040.000,-9.69579443E-4,
14080.000,2.93086166E-3,
14120.000,-2.35112780E-3,
14160.000,-6.35757251E-3,
1.42E04,2.92605627E-3,
14240.000,-8.80428310E-3,
14280.000,1.60724409E-2,
14320.000,-1.14124753E-2,
14360.000,1.63337053E-3,
1.44E04,5.55250840E-3,
14440.000,-7.39502581E-3,
14480.000,1.61569554E-3,
14520.000,-6.16975501E-3,
14560.000,-9.01351403E-3,
1.46E04,1.57541409E-2,
14640.000,6.84312358E-3,
14680.000,-2.21897871E-3,
14720.000,1.71445701E-2,
14760.000,6.85588503E-3,
1.48E04,-9.91062610E-4,
14840.000,-1.00513427E-2,
