MOF 1 PBS Ar 410 460 nm 400us Delta OD 10 disparos repetido

Labels,1 410.00 nm (LpTimeMap)(LpTimeMap)(MOF 1 PBS Ar 410 430 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),2 420.00 nm (LpTimeMap)(LpTimeMap)(MOF 1 PBS Ar 410 430 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),3 430.00 nm (LpTimeMap)(LpTimeMap)(MOF 1 PBS Ar 410 430 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),1 440.00 nm (LpTimeMap)(MOF 1 PBS Ar 440 460 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),2 450.00 nm (LpTimeMap)(MOF 1 PBS Ar 440 460 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),3 460.00 nm (LpTimeMap)(MOF 1 PBS Ar 440 460 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),
Type,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,
Comment,,,,,,,
Start,0.00,0.00,0.00,0.00,0.00,0.00,
Stop,399960.0000,399960.0000,399960.0000,399960.0000,399960.0000,399960.0000,
Step,40.00,40.00,40.00,40.00,40.00,40.00,
Fixed/Offset, , , , , , ,
XAxis,Time,Time,Time,Time,Time,Time,
YAxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,

2240.00,4.57459781E-3,-3.17258909E-2,2.33227713E-3,1.28906884E-3,-3.39641061E-4,-1.89012126E-3,
2280.00,1.87439211E-2,9.17094480E-3,3.70661961E-4,8.53170059E-4,-1.22098462E-3,-6.13113749E-4,
2320.00,-2.42507607E-2,-1.99388340E-2,-1.06032705E-3,-2.35205618E-4,-6.94635091E-4,1.52153836E-4,
2360.00,3.26201022E-2,-2.59610694E-2,5.48370939E-4,-1.32331322E-3,-8.71354772E-4,2.42823353E-5,
2400.00,-1.47689581E-2,6.44248957E-3,-1.64847093E-4,1.72424712E-3,-1.66316269E-4,1.94375287E-3,
2440.00,-9.81766060E-2,-1.77107453E-2,3.69946123E-4,6.35237433E-4,8.93001677E-4,-3.58008285E-4,
2480.00,-7.69284666E-2,1.92515161E-2,-1.59216067E-3,1.72737963E-3,-1.22575415E-3,1.17426540E-3,
2520.00,-4.40933220E-2,-1.61674991E-3,7.27223698E-4,-1.10310141E-3,-5.15930355E-4,6.63856044E-4,
2560.00,-8.01512413E-3,1.18481496E-3,7.27327075E-4,3.68412212E-3,-6.93422917E-4,-4.85246943E-4,
2600.00,2.57710479E-2,1.78651530E-2,2.15311977E-3,-1.91859908E-5,-1.92450895E-3,-1.89220835E-3,
2640.00,-1.10478075E-2,1.91144217E-2,-5.21116308E-4,-1.98302395E-3,-6.97489828E-4,1.52084423E-4,
2680.00,2.56402697E-2,-1.77106950E-2,1.26323965E-3,-6.71509362E-4,-5.17452660E-4,2.36627002E-5,
2720.00,3.70005774E-3,6.38041180E-3,-6.98596763E-4,-2.42105569E-3,2.30751419E-3,5.36157051E-4,
2760.00,-6.07585162E-2,1.17252572E-2,1.39947406E-5,1.07168383E-3,-3.43134248E-4,5.36157051E-4,
2800.00,-3.18405107E-2,1.45660900E-2,-1.41331682E-3,-2.63125286E-3,-2.27416377E-3,-2.29921847E-4,
2840.00,-2.24627741E-3,-4.33724560E-3,1.93674132E-4,-2.19723792E-3,8.92846379E-4,-6.14187622E-4,
2880.00,2.56403033E-2,1.93902683E-2,-1.41875912E-3,4.19006043E-4,2.30368064E-3,4.08194610E-4,
2920.00,-1.06462367E-1,1.42330676E-2,1.44125335E-3,-1.72180207E-5,-3.41411069E-4,7.92377512E-4,
2960.00,7.84175321E-2,1.42329689E-2,-8.78516119E-4,1.50837121E-3,1.88108301E-4,1.04857376E-3,
3000.00,-8.01515393E-3,-1.67765154E-3,5.48595970E-4,-1.11349334E-3,-2.29011616E-3,-7.41426251E-4,
3040.00,2.57046111E-2,1.51494928E-2,1.30647995E-5,-2.40922556E-3,-1.40015827E-3,1.30314217E-3,
3080.00,7.13237599E-2,3.46790603E-3,-1.64063473E-4,1.94172142E-3,-5.19514375E-4,-1.02312362E-4,
3120.00,1.01734653E-1,-2.87463982E-2,-1.64820478E-4,2.15958944E-3,-5.18416986E-4,-4.86464996E-4,
3160.00,-2.58146729E-2,3.07614300E-2,1.08398416E-3,8.53476289E-4,-5.18978573E-4,-1.02752936E-4,
3200.00,-4.20424007E-2,-1.49950366E-2,1.26360310E-3,-2.32841165E-4,1.24517246E-3,-1.50908425E-3,
3240.00,-1.87726282E-2,2.27434095E-2,9.05559107E-4,1.50809682E-3,3.63326079E-4,-1.25345762E-3,
3280.00,-3.04075703E-3,1.03647239E-3,-1.65605365E-4,-2.62761908E-3,5.40000270E-4,-9.98239149E-4,
3320.00,-2.50196680E-2,3.55351344E-3,-2.84482655E-3,-1.11551909E-3,1.88108301E-4,-1.89366529E-3,
3360.00,-6.50954843E-2,1.21128717E-2,-8.77120066E-4,-8.87009548E-4,-5.17452660E-4,-7.41388183E-4,
3400.00,3.26201022E-2,-5.24509326E-2,1.91249390E-4,-4.54013003E-4,1.88992723E-4,4.08476277E-4,
3440.00,-3.27443853E-2,-3.74245420E-2,-5.21142851E-4,-2.62229657E-3,-1.39672263E-3,-4.87647834E-4,
3480.00,-3.57181728E-2,-9.65079758E-3,5.48938639E-4,-2.41938815E-3,2.12652748E-3,9.19293554E-4,
3520.00,-1.61733571E-2,1.23141604E-2,3.69972753E-4,-3.28146270E-3,1.42292387E-3,-1.03993712E-4,
3560.00,-1.10478429E-2,-1.55061111E-2,-3.43031512E-4,-1.32452440E-3,-3.43598862E-4,-4.87313722E-4,
3600.00,4.00135666E-3,1.09467050E-3,-3.44402302E-4,1.07149663E-3,3.63725325E-4,1.51761415E-4,
3640.00,-3.15395407E-2,1.84293184E-2,3.70661961E-4,-1.53661799E-3,-3.40512284E-4,-4.85284923E-4,
3680.00,3.92099433E-2,-1.24585358E-2,-1.64481724E-4,-1.54162955E-3,1.95049751E-3,-1.02714832E-4,
3720.00,-6.30687699E-2,-2.75505390E-2,1.08427927E-3,4.17304487E-4,1.87665006E-4,1.52835957E-4,
3760.00,1.84929669E-2,2.01101080E-2,7.27352686E-4,-1.67597191E-5,1.87220998E-4,-1.38039491E-3,
3800.00,1.13779932E-1,-1.62928074E-3,-1.63645615E-4,8.53366975E-4,1.24746340E-3,2.46794298E-5,
3840.00,6.19891323E-2,6.38041180E-3,1.91003113E-4,-1.33136113E-3,1.06916204E-3,6.63845800E-4,
3880.00,1.15043111E-2,-4.35097236E-3,3.70145252E-4,-1.86932575E-5,-3.40538507E-4,-2.31241720E-4,
3920.00,4.79154177E-2,1.18203359E-2,-1.23782351E-3,-1.75324641E-3,3.62971536E-4,1.68709736E-3,
3960.00,-9.97050200E-3,-7.03109102E-3,1.26187946E-3,1.72539451E-3,1.06712441E-5,2.80386710E-4,
4000.00,9.10855234E-2,-9.68811102E-3,3.70661932E-4,1.28969306E-3,1.87443133E-4,-2.30619291E-4,
4040.00,9.65015143E-2,-1.57830818E-3,-3.39784252E-4,-1.86932575E-5,1.59968203E-3,7.91814935E-4,
4080.00,9.34892073E-2,1.42329689E-2,-5.19530033E-4,-2.19565327E-3,1.87665006E-4,-3.59593279E-4,
4120.00,4.79154512E-2,-6.90862536E-3,3.71375441E-4,-6.75617426E-4,1.24600320E-3,-3.60292499E-4,
4160.00,4.66477498E-2,6.63327146E-3,-1.64847152E-4,8.53585370E-4,-8.73941637E-4,-4.86131641E-4,
4200.00,1.85981896E-2,-4.29909304E-3,-1.59120921E-3,8.53476289E-4,-3.43546213E-4,5.36173990E-4,
4240.00,-8.48097634E-3,1.18481496E-3,-1.41329016E-3,-1.32445956E-3,-1.22655125E-3,-1.38326664E-3,
4280.00,9.47548226E-2,-1.64155872E-3,9.05723078E-4,1.72345166E-3,-3.43598804E-4,1.52545355E-4,
4320.00,-4.40932885E-2,-2.07614377E-2,-1.06108887E-3,-1.31763145E-3,1.07028009E-3,7.91368482E-4,
4360.00,-7.52922818E-2,2.50049289E-2,9.05416557E-4,-2.62591895E-3,7.16545153E-4,-9.95160663E-4,
4400.00,3.37856561E-2,2.57258397E-2,3.22150323E-3,-2.62941886E-3,3.64176114E-4,1.51615401E-4,
4440.00,3.37857306E-2,-6.98927790E-3,3.69773450E-4,-6.71476941E-4,8.92808253E-4,2.79967877E-4,
4480.00,4.29269951E-3,-1.57830818E-3,5.49090561E-4,-1.72180935E-5,-1.04595034E-3,5.36185340E-4,
4520.00,1.05288431E-1,-4.29510744E-3,3.70463298E-4,-4.56213224E-4,1.87886748E-4,1.55911269E-3,
4560.00,4.74787764E-2,1.16312439E-2,-6.96104660E-4,2.00278329E-4,1.24331319E-3,4.08296823E-4,
4600.00,-2.74888147E-2,-2.82842368E-2,5.48748241E-4,-1.54291803E-3,1.06932444E-3,1.17484527E-3,
4640.00,-3.15395407E-2,-9.84164048E-3,3.70516471E-4,4.16175346E-4,-3.39667284E-4,-1.38214743E-3,
4680.00,6.13280982E-2,-2.59610210E-2,-5.19556575E-4,1.72584271E-3,2.30562151E-3,-3.59296944E-4,
4720.00,-1.87726282E-2,-1.21913441E-2,-7.01017270E-4,-2.20200070E-3,1.88329679E-4,-1.12786109E-3,
4760.00,8.13075528E-2,6.76449714E-3,9.05580120E-4,1.99130343E-4,-3.42722691E-4,2.80703185E-4,
4800.00,3.24474834E-2,-9.68811102E-3,-2.47952715E-3,3.24523379E-3,-3.40076513E-4,2.70830933E-3,
4840.00,4.83671799E-2,-3.13757397E-2,1.08237327E-5,-2.19245674E-3,-1.05174840E-3,4.08444379E-4,
