Labels,MOF 2 PBS Ar 420 nm 400us Delta OD 20 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

21160.000,-2.03705742E-3,
2.12E04,-4.15586401E-4,
21240.000,-2.68047769E-3,
21280.000,-7.37959053E-4,
21320.000,-1.06142205E-3,
21360.000,1.23856385E-4,
2.14E04,-1.27942301E-3,
21440.000,1.58015901E-5,
21480.000,5.56947256E-4,
21520.000,1.31445518E-3,
21560.000,8.77407670E-4,
2.16E04,1.23622958E-4,
21640.000,-1.92958338E-3,
21680.000,1.52347703E-3,
21720.000,-2.46208371E-3,
21760.000,-8.48621421E-4,
2.18E04,-1.81932747E-3,
21840.000,-4.15963907E-4,
21880.000,-1.06251519E-3,
21920.000,8.80380336E-4,
21960.000,1.63462642E-3,
2.2E04,2.32486535E-4,
22040.000,9.87109030E-4,
22080.000,1.52906089E-3,
22120.000,1.31099497E-3,
22160.000,1.24001439E-4,
2.22E04,-5.24448813E-4,
22240.000,-8.48008611E-4,
22280.000,-4.16041730E-4,
22320.000,-6.32025127E-4,
22360.000,9.86773870E-4,
2.24E04,3.40097671E-4,
22440.000,-1.17278623E-3,
22480.000,-1.71314448E-3,
22520.000,4.47352650E-4,
22560.000,-6.31695148E-4,
2.26E04,-5.23940776E-4,
22640.000,1.31029251E-3,
22680.000,3.40493047E-4,
22720.000,7.70977931E-4,
22760.000,-1.71164004E-3,
2.28E04,-3.08150804E-4,
22840.000,-9.18960359E-5,
22880.000,1.56487586E-5,
22920.000,-9.19632221E-5,
22960.000,4.47384780E-4,
2.3E04,6.62318082E-4,
23040.000,-8.46754469E-4,
23080.000,1.31141092E-3,
23120.000,-7.39401323E-4,
23160.000,-8.48040741E-4,
2.32E04,-1.17115094E-3,
23240.000,7.73695472E-4,
23280.000,-7.39559415E-4,
23320.000,-6.31662959E-4,
23360.000,-1.17068470E-3,
2.34E04,-2.46426556E-3,
23440.000,-8.47976422E-4,
23480.000,2.31037338E-4,
23520.000,-8.49575270E-4,
23560.000,2.31498008E-4,
2.36E04,4.48198261E-4,
23640.000,7.72475963E-4,
23680.000,-9.22074905E-5,
23720.000,1.23711434E-4,
23760.000,-8.47855583E-4,
2.38E04,-3.08043323E-4,
23840.000,-1.17322220E-3,
23880.000,-3.08019167E-4,
23920.000,2.17274227E-3,
23960.000,-4.15813760E-4,
2.4E04,1.09587517E-3,
24040.000,-9.22101826E-5,
24080.000,-6.33453252E-4,
24120.000,1.74176751E-3,
24160.000,-9.24135893E-5,
2.42E04,-4.15677263E-4,
24240.000,-1.81853899E-3,
24280.000,-1.06540986E-3,
24320.000,-5.23795956E-4,
24360.000,-1.17255223E-3,
2.44E04,8.78445862E-4,
24440.000,-1.60169008E-3,
24480.000,3.38425714E-4,
24520.000,-1.17168191E-3,
24560.000,3.39134509E-4,
2.46E04,3.39702849E-4,
24640.000,1.52602990E-3,
24680.000,-9.21350729E-5,
24720.000,2.06461502E-3,
24760.000,-3.08075512E-4,
2.48E04,-4.15904884E-4,
24840.000,-4.15599730E-4,
24880.000,7.71227293E-4,
24920.000,1.73935061E-3,
24960.000,-2.03165342E-3,
2.5E04,-1.06090226E-3,
25040.000,-2.00186842E-4,
25080.000,-9.19954182E-5,
25120.000,-2.14581494E-3,
25160.000,1.20429043E-3,
2.52E04,8.80007050E-4,
25240.000,1.54907666E-5,
25280.000,-6.31330884E-4,
25320.000,-9.19954036E-5,
25360.000,1.30790018E-3,
2.54E04,-4.15845891E-4,
25440.000,1.56166243E-5,
25480.000,-7.39559415E-4,
25520.000,-1.06354663E-3,
25560.000,-8.47702613E-4,
2.56E04,1.56139395E-5,
25640.000,-6.31561154E-4,
25680.000,1.58659241E-5,
25720.000,5.54986473E-4,
25760.000,-1.49313814E-3,
2.58E04,7.69949635E-4,
25840.000,-4.15950461E-4,
25880.000,-8.47397023E-4,
25920.000,-3.08024551E-4,
25960.000,1.24235419E-4,
2.6E04,-5.23402414E-4,
26040.000,-1.92617858E-3,
26080.000,-2.00082504E-4,
26120.000,-2.00138747E-4,
26160.000,8.79241969E-4,
2.62E04,-9.55682306E-4,
26240.000,5.55018662E-4,
26280.000,-9.22423278E-5,
26320.000,5.53846825E-4,
26360.000,-2.24766112E-3,
2.64E04,1.57077593E-5,
26440.000,-3.08005750E-4,
26480.000,7.70013954E-4,
26520.000,-1.38440332E-3,
26560.000,1.23799953E-4,
2.66E04,8.77862214E-4,
26640.000,2.31498008E-4,
26680.000,1.22652462E-4,
26720.000,4.46036109E-4,
26760.000,1.31333224E-3,
2.68E04,6.64480205E-4,
26840.000,-1.06292753E-3,
26880.000,6.63652725E-4,
26920.000,-4.15282208E-4,
26960.000,-1.38656364E-3,
2.7E04,-9.55355179E-4,
27040.000,1.52606203E-3,
27080.000,-6.32156676E-4,
27120.000,5.54758823E-4,
27160.000,7.69917446E-4,
2.72E04,-2.00138762E-4,
27240.000,-6.32259005E-4,
27280.000,5.55965642E-4,
27320.000,-9.22396357E-5,
27360.000,-4.15982649E-4,
2.74E04,-7.39088166E-4,
27440.000,-7.38334784E-4,
27480.000,-2.67990190E-3,
27520.000,2.31991740E-4,
27560.000,-9.24456763E-5,
2.76E04,-1.17065269E-3,
27640.000,-1.06272125E-3,
27680.000,-1.06316584E-3,
27720.000,-2.03481526E-3,
27760.000,-1.17218122E-3,
2.78E04,4.47183789E-4,
27840.000,-3.08062125E-4,
27880.000,-2.14625895E-3,
27920.000,3.38142709E-4,
27960.000,1.20108109E-3,
2.8E04,1.31064362E-3,
28040.000,-9.23066109E-5,
28080.000,-4.16087394E-4,
28120.000,1.85196649E-3,
28160.000,1.31141080E-3,
2.82E04,-9.20303573E-5,
28240.000,-7.40002026E-4,
28280.000,7.72443775E-4,
28320.000,1.96029316E-3,
28360.000,-6.31893636E-4,
2.84E04,-9.23467160E-5,
28440.000,-3.08008399E-4,
28480.000,2.31331840E-4,
28520.000,-1.06254721E-3,
28560.000,-1.17115094E-3,
2.86E04,1.54934442E-5,
28640.000,-3.08145361E-4,
28680.000,1.63224514E-3,
28720.000,-3.07920069E-4,
28760.000,9.87683306E-4,
2.88E04,-1.70900638E-3,
28840.000,1.23566628E-4,
28880.000,-1.17065257E-3,
28920.000,-1.38494268E-3,
28960.000,-8.48347088E-4,
2.9E04,1.30793231E-3,
29040.000,-2.00178911E-4,
29080.000,-8.47734802E-4,
29120.000,5.54237049E-4,
29160.000,2.31267521E-4,
2.92E04,1.53970705E-5,
29240.000,-2.00243026E-4,
29280.000,1.23413949E-4,
29320.000,-1.27760461E-3,
29360.000,1.52602978E-3,
2.94E04,-4.16243187E-4,
29440.000,-2.00050330E-4,
29480.000,-9.55650175E-4,
29520.000,-9.23413972E-5,
29560.000,1.23977152E-4,
2.96E04,3.14384280E-3,
29640.000,1.23325619E-4,
29680.000,3.40097642E-4,
29720.000,-6.31992938E-4,
29760.000,1.74520642E-3,
2.98E04,-7.39433512E-4,
29840.000,-9.24856431E-5,
29880.000,-6.31034025E-4,
29920.000,6.64130726E-4,
29960.000,-2.03699316E-3,
3E04,1.52646680E-3,
30040.000,-2.00098584E-4,
30080.000,1.24001424E-4,
30120.000,4.47151629E-4,
30160.000,-7.39969837E-4,
3.02E04,-1.93003810E-3,
30240.000,5.53587684E-4,
30280.000,1.54613263E-5,
30320.000,-4.16316005E-4,
30360.000,-7.40348652E-4,
3.04E04,-3.07986978E-4,
30440.000,-4.16055176E-4,
30480.000,-2.68474012E-3,
30520.000,-2.00106617E-4,
30560.000,-2.00058334E-4,
3.06E04,2.31216676E-4,
30640.000,-1.27893488E-3,
30680.000,-9.21377796E-5,
30720.000,7.70760875E-4,
30760.000,1.22996629E-4,
3.08E04,2.31267550E-4,
30840.000,5.55933453E-4,
30880.000,-1.17048400E-3,
30920.000,9.87747684E-4,
30960.000,-9.22048130E-5,
3.1E04,-9.21672618E-5,
31040.000,1.09776319E-3,
31080.000,3.39955295E-4,
31120.000,1.31147529E-3,
31160.000,-6.32188923E-4,
3.12E04,1.41918694E-3,
31240.000,-9.22369727E-5,
31280.000,5.54108585E-4,
31320.000,-3.08153278E-4,
31360.000,4.46645543E-4,
3.14E04,2.31793005E-4,
31440.000,-9.21001847E-5,
31480.000,-1.70937285E-3,
31520.000,9.86677362E-4,
31560.000,3.38644837E-4,
3.16E04,-4.15859307E-4,
31640.000,-1.17001846E-3,
31680.000,-9.55387310E-4,
31720.000,-6.30836468E-4,
31760.000,2.31530124E-4,
3.18E04,8.78754014E-4,
31840.000,1.22916637E-4,
31880.000,-3.07882670E-4,
31920.000,-3.07995011E-4,
31960.000,4.46677645E-4,
3.2E04,-2.00082475E-4,
32040.000,-2.00154755E-4,
32080.000,2.31709797E-4,
32120.000,1.54586396E-5,
32160.000,-9.25151180E-5,
3.22E04,-1.49439066E-3,
32240.000,6.62698236E-4,
32280.000,1.42000837E-3,
32320.000,-1.59968587E-3,
32360.000,-8.48008553E-4,
3.24E04,-1.27945514E-3,
32440.000,-4.15514398E-4,
32480.000,1.52768444E-5,
32520.000,-9.26614957E-5,
32560.000,-2.00258859E-4,
3.26E04,-9.24483174E-5,
32640.000,-5.24303527E-4,
32680.000,-9.54848889E-4,
