Labels,NQ D 600 nm 400 us Delta OD KV 1_75 Ar 20 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

19640.000,1.42121373E-3,
19680.000,1.53100607E-3,
19720.000,-1.87344907E-3,
19760.000,2.08101724E-3,
1.98E04,-8.87741451E-4,
19840.000,-5.57652325E-4,
19880.000,6.52525749E-4,
19920.000,1.20092079E-3,
19960.000,-3.39132210E-4,
2E04,2.85047852E-3,
20040.000,-1.14647213E-4,
20080.000,-7.72387779E-4,
20120.000,-1.98814948E-3,
20160.000,4.31779481E-4,
2.02E04,1.02971324E-4,
20240.000,2.12101702E-4,
20280.000,-5.54592581E-4,
20320.000,9.81781050E-4,
20360.000,6.52977440E-4,
2.04E04,-6.66244712E-4,
20440.000,-3.35482560E-4,
20480.000,-5.58201398E-4,
20520.000,-2.28545803E-4,
20560.000,3.21565778E-4,
2.06E04,-1.17945230E-4,
20640.000,-1.54597114E-3,
20680.000,2.18971167E-3,
20720.000,1.02240745E-4,
20760.000,-6.66689943E-4,
2.08E04,1.02240847E-4,
20840.000,-5.58652508E-4,
20880.000,2.12068990E-4,
20920.000,-6.66277367E-4,
20960.000,-2.28079967E-4,
2.1E04,9.82571044E-4,
21040.000,-8.86607682E-4,
21080.000,8.71682132E-4,
21120.000,-8.84180714E-4,
21160.000,3.20651161E-4,
2.12E04,-1.17168536E-4,
21240.000,2.19075452E-3,
21280.000,8.71957862E-4,
21320.000,-2.27647441E-4,
21360.000,1.03983948E-4,
2.14E04,-1.55207922E-3,
21440.000,-5.54592581E-4,
21480.000,-1.08601052E-5,
21520.000,-1.10639550E-3,
21560.000,5.41457965E-4,
2.16E04,-1.18415832E-4,
21640.000,-9.94918519E-4,
21680.000,5.43358386E-4,
21720.000,4.32110566E-4,
21760.000,-8.87174683E-4,
2.18E04,-3.35941993E-4,
21840.000,5.43121248E-4,
21880.000,-1.43565855E-3,
21920.000,1.85994990E-3,
21960.000,-1.54284399E-3,
2.2E04,-2.08955281E-3,
22040.000,-3.37354635E-4,
22080.000,-8.84811569E-4,
22120.000,-9.34772197E-6,
22160.000,3.22380714E-4,
2.22E04,-2.27182187E-4,
22240.000,2.13608160E-4,
22280.000,-5.62892936E-4,
22320.000,1.06482221E-4,
22360.000,8.71438824E-4,
2.24E04,-7.81024690E-4,
22440.000,4.32343397E-4,
22480.000,-9.98020987E-4,
22520.000,-2.24624455E-4,
22560.000,-2.31851544E-3,
2.26E04,-4.79593564E-6,
22640.000,-8.85344518E-4,
22680.000,7.61350035E-4,
22720.000,-1.10502052E-3,
22760.000,2.13287422E-4,
