Labels,MOF 1 Air 420 nm 40 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,39996.0000,
Step,4.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

1332.000,4.18015290E-3,
1336.000,-3.49810434E-4,
1340.00,6.82255812E-3,
1344.000,2.30751396E-3,
1348.000,4.90514282E-3,
1352.000,4.94039105E-3,
1356.000,4.93360125E-3,
1360.00,-2.97936378E-3,
1364.000,7.71511812E-4,
1368.000,-3.74638080E-3,
1372.000,4.55991132E-3,
1376.000,-1.09938276E-3,
1380.00,4.93458239E-3,
1384.000,4.22936391E-5,
1388.000,1.15936494E-3,
1392.000,4.13437985E-4,
1396.000,-4.51515848E-3,
1400.00,1.92729675E-3,
1404.000,-6.80254027E-3,
1408.000,4.10305045E-4,
1412.000,7.77931593E-4,
1416.000,-1.47250993E-3,
1420.00,-7.41386553E-4,
1424.000,3.98445438E-4,
1428.000,-3.74438078E-3,
1432.000,4.01499157E-4,
1436.000,-3.46041459E-4,
1440.00,2.28171959E-3,
1444.000,-7.26297731E-4,
1448.000,-7.65047153E-4,
1452.000,-1.06839580E-3,
1456.000,3.06191808E-3,
1460.00,-3.53600597E-4,
1464.000,-1.16293714E-3,
1468.000,-3.34284501E-4,
1472.000,4.16298164E-4,
1476.000,-1.47076556E-3,
1480.00,-1.85772940E-3,
1484.000,1.53159210E-3,
1488.000,-7.59469869E-4,
1492.000,-1.86189287E-3,
1496.000,1.14811631E-3,
1500.00,7.99635076E-4,
1504.000,-3.02420370E-3,
1508.000,3.91993148E-4,
1512.000,2.31089140E-3,
1516.000,1.53007877E-5,
1520.00,1.53040560E-3,
1524.000,-2.97671650E-3,
1528.000,-7.66563229E-4,
1532.000,2.08424772E-5,
1536.000,2.32712110E-3,
1540.00,5.68467472E-3,
1544.000,-1.47736957E-3,
1548.000,-1.48949597E-3,
1552.000,3.03507270E-3,
1556.000,-3.78607394E-4,
1560.00,-2.26530712E-3,
1564.000,-1.82191085E-3,
1568.000,-3.61557934E-4,
1572.000,7.82926742E-4,
1576.000,-2.63147568E-3,
1580.00,3.46182962E-3,
1584.000,-2.23865476E-3,
1588.000,-2.60065240E-3,
1592.000,2.63302809E-5,
1596.000,-4.12123697E-3,
1600.00,1.17004255E-3,
1604.000,-7.11883768E-4,
1608.000,7.92022911E-4,
1612.000,-5.24642924E-3,
1616.000,-3.70418071E-4,
1620.00,-1.12589216E-3,
1624.000,-1.48709177E-3,
1628.000,-1.46954495E-3,
1632.000,1.54899713E-3,
1636.000,3.88761313E-4,
1640.00,-2.23565707E-3,
1644.000,-3.37407598E-3,
1648.000,3.06530762E-3,
1652.000,-7.25002377E-4,
1656.000,1.15047151E-3,
1660.00,-3.21764936E-4,
1664.000,1.93117396E-3,
1668.000,-3.56327801E-4,
1672.000,-2.24675145E-3,
1676.000,1.14276190E-3,
1680.00,-3.63933534E-4,
1684.000,3.68631707E-4,
1688.000,2.28100317E-3,
1692.000,-2.61195982E-3,
1696.000,-1.88230979E-3,
1700.00,-3.44569446E-4,
1704.000,7.64274097E-4,
1708.000,1.53689564E-3,
1712.000,5.68877999E-3,
1716.000,1.12687214E-3,
1720.00,2.31708679E-3,
1724.000,-5.27848164E-3,
1728.000,-2.99738511E-3,
1732.000,1.93195883E-3,
