Labels,VMOF  O2 420 nm 10 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9999.000,
Step,1.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

332.00,4.98923655E-5,
333.00,-1.28305939E-4,
334.00,2.84964830E-4,
335.00,-1.16929156E-3,
336.00,-1.55101545E-4,
337.00,1.26777147E-3,
338.00,1.10170967E-3,
339.00,4.66555211E-4,
340.00,1.29311625E-3,
341.00,1.48143759E-3,
342.00,2.39240486E-4,
343.00,-3.34839016E-4,
344.00,1.07960310E-3,
345.00,5.06038778E-4,
346.00,4.50744701E-4,
347.00,1.47663802E-3,
348.00,-1.17268428E-4,
349.00,2.66060437E-4,
350.00,8.70927412E-4,
351.00,2.49070930E-3,
352.00,8.94621131E-4,
353.00,1.25512993E-3,
354.00,4.55472735E-4,
355.00,4.66555211E-4,
356.00,-1.35016930E-3,
357.00,-7.63287069E-4,
358.00,-3.12774238E-4,
359.00,-1.96764572E-3,
360.00,-1.55453361E-3,
361.00,-7.72716594E-4,
362.00,1.34055107E-3,
363.00,-5.30216901E-4,
364.00,4.30237065E-4,
365.00,-3.23836837E-4,
366.00,6.71842834E-4,
367.00,-1.64544283E-4,
368.00,2.83399480E-4,
369.00,8.63029796E-4,
370.00,-7.68031867E-4,
371.00,-1.14110502E-4,
372.00,6.73439703E-4,
373.00,-1.15669030E-3,
374.00,-1.71481550E-3,
375.00,-1.34384132E-3,
376.00,4.83872136E-4,
377.00,8.23543873E-4,
378.00,-5.44368697E-4,
379.00,-1.09694933E-3,
380.00,-1.50410182E-4,
381.00,-1.16776139E-3,
382.00,2.62929854E-4,
383.00,-1.48846375E-4,
384.00,-7.68031867E-4,
385.00,-2.52625556E-3,
386.00,-3.42714746E-4,
387.00,-1.28336003E-4,
388.00,4.41258657E-4,
389.00,7.35714057E-5,
390.00,-1.33286475E-3,
391.00,-7.45959056E-4,
392.00,-1.73210481E-3,
393.00,-1.14096818E-3,
394.00,-7.33375549E-4,
395.00,1.06693676E-3,
396.00,-9.49046807E-4,
397.00,-3.53716459E-4,
398.00,-9.33257164E-4,
399.00,-7.41213968E-4,
400.00,6.43400999E-4,
401.00,3.32349853E-4,
402.00,-1.97863625E-3,
403.00,4.42854711E-4,
404.00,-1.74621749E-3,
405.00,-9.61624086E-4,
406.00,-1.34387135E-3,
407.00,1.47503812E-3,
408.00,-1.15519005E-3,
409.00,2.64495146E-4,
410.00,-9.49076843E-4,
411.00,2.81834102E-4,
412.00,1.67612219E-3,
413.00,-1.34860980E-3,
414.00,-1.37779323E-4,
415.00,4.82336152E-4,
416.00,-3.25400004E-4,
417.00,-1.70889427E-4,
418.00,-1.34231185E-3,
419.00,1.10170967E-3,
420.00,2.78392181E-5,
421.00,-2.14190502E-3,
422.00,1.69671886E-3,
423.00,-1.39107381E-3,
424.00,-3.42714746E-4,
425.00,-7.14454509E-4,
426.00,1.48137717E-3,
427.00,-2.73361424E-4,
428.00,-1.38162775E-3,
429.00,6.41237057E-5,
430.00,1.09223963E-3,
431.00,-1.76347571E-3,
432.00,1.08433794E-3,
433.00,-7.60133844E-4,
434.00,-9.33317235E-4,
435.00,7.04121194E-5,
436.00,1.06693676E-3,
437.00,-1.53537767E-4,
438.00,-5.42776252E-4,
439.00,4.68121230E-4,
440.00,6.93958835E-4,
441.00,4.69687249E-4,
442.00,8.70927412E-4,
443.00,2.75482424E-4,
444.00,-1.01358024E-3,
445.00,6.97122654E-4,
446.00,-9.49046807E-4,
447.00,-5.34934225E-4,
448.00,-3.36372090E-4,
449.00,1.66978023E-3,
450.00,-1.61416770E-4,
451.00,-9.42773069E-4,
452.00,-9.50607762E-4,
453.00,8.94621131E-4,
454.00,4.82336152E-4,
455.00,4.68151324E-4,
456.00,2.45531439E-4,
457.00,-5.34934225E-4,
458.00,-7.44397403E-4,
459.00,4.55502828E-4,
460.00,1.10170967E-3,
461.00,6.62351958E-4,
462.00,-1.78738061E-4,
463.00,-1.53411948E-3,
464.00,4.04150924E-5,
465.00,-1.58121134E-3,
466.00,4.52340784E-4,
467.00,-1.55609229E-3,
468.00,-4.95541550E-4,
469.00,-9.78973578E-4,
470.00,8.66194838E-4,
471.00,-1.11423328E-3,
472.00,-9.19118058E-4,
473.00,4.64959070E-4,
474.00,-1.38003845E-3,
475.00,-9.20739141E-4,
476.00,1.28994812E-3,
477.00,2.53447914E-4,
478.00,5.62106616E-5,
479.00,4.31802968E-4,
480.00,1.89784518E-3,
481.00,-1.11738394E-3,
482.00,-5.53863007E-4,
483.00,2.69221142E-4,
484.00,1.49722525E-3,
485.00,4.77607828E-4,
486.00,2.07213126E-3,
487.00,-3.72653187E-4,
488.00,-1.29899883E-4,
489.00,-5.60112356E-4,
490.00,1.70460145E-3,
491.00,2.11330270E-3,
492.00,8.56699771E-4,
493.00,2.67794658E-3,
494.00,1.01975929E-4,
495.00,6.57183700E-5,
496.00,5.61805755E-5,
497.00,6.63948827E-4,
498.00,-1.75253965E-3,
499.00,-3.37995356E-4,
500.00,1.03510552E-4,
501.00,1.27093948E-3,
502.00,1.66660931E-3,
503.00,-3.52153409E-4,
504.00,2.70786462E-4,
505.00,7.19767195E-5,
506.00,4.64959070E-4,
507.00,-6.87693362E-4,
508.00,-1.38159783E-3,
509.00,-2.13876157E-3,
510.00,-1.04666680E-4,
511.00,6.27614208E-4,
512.00,-1.19290291E-3,
513.00,-1.12839614E-3,
514.00,-1.31463748E-4,
515.00,6.41237057E-5,
516.00,-9.64745821E-4,
517.00,-3.33275879E-4,
518.00,-1.26742059E-4,
519.00,-1.39343159E-4,
520.00,2.42401002E-4,
521.00,3.31158657E-3,
522.00,-8.98674072E-4,
523.00,-1.77174355E-4,
524.00,-3.22213542E-4,
525.00,2.55013176E-4,
526.00,2.84994952E-4,
527.00,1.46872934E-3,
528.00,-7.72716594E-4,
529.00,-1.34857988E-3,
530.00,-3.33245815E-4,
531.00,-9.60063189E-4,
532.00,2.09114468E-3,
533.00,9.88164393E-5,
534.00,-9.19148093E-4,
535.00,5.77752071E-5,
536.00,1.04006729E-3,
537.00,1.68560504E-3,
538.00,4.98923655E-5,
539.00,1.26466388E-3,
540.00,4.68091108E-4,
541.00,1.08433794E-3,
542.00,4.04451785E-5,
543.00,-1.67731909E-4,
544.00,1.29788357E-3,
545.00,-1.37218146E-3,
546.00,-9.55320487E-4,
547.00,-3.06461210E-4,
548.00,-1.12053461E-3,
549.00,1.71411515E-3,
550.00,1.25199219E-3,
551.00,4.49178740E-4,
552.00,8.88320792E-4,
553.00,1.88355357E-3,
554.00,-5.53832971E-4,
555.00,7.05017243E-4,
556.00,4.66555211E-4,
557.00,1.49088597E-3,
558.00,-7.16046314E-4,
559.00,-6.31042058E-4,
560.00,1.76950998E-3,
561.00,-1.73366291E-3,
562.00,1.47035939E-3,
563.00,-1.37749244E-4,
564.00,2.81864224E-4,
565.00,1.05430104E-3,
566.00,9.40922837E-5,
567.00,2.70967023E-3,
568.00,6.38670928E-4,
569.00,8.89888324E-4,
570.00,4.80739953E-4,
571.00,-2.37100036E-3,
572.00,-5.74323290E-4,
573.00,2.29880470E-3,
574.00,-3.01711349E-4,
575.00,8.47234973E-4,
576.00,2.50287325E-4,
577.00,-5.44368697E-4,
578.00,8.30193167E-5,
579.00,3.88506087E-5,
580.00,6.70276058E-4,
581.00,-1.13313692E-3,
582.00,-7.39682349E-4,
583.00,-1.53564825E-3,
584.00,-5.58550062E-4,
585.00,2.37615081E-4,
586.00,4.72849439E-4,
587.00,6.79736957E-4,
588.00,4.77607828E-4,
589.00,-1.31433670E-4,
590.00,-1.13784766E-3,
591.00,-7.52235646E-4,
592.00,-5.23876981E-4,
593.00,2.30040750E-3,
594.00,-3.55309574E-4,
595.00,6.27644302E-4,
596.00,-1.72895868E-3,
597.00,1.47823791E-3,
598.00,-9.19118058E-4,
599.00,-3.64778010E-4,
600.00,8.33008089E-4,
601.00,1.06853514E-3,
602.00,1.48774660E-3,
603.00,5.06008684E-4,
604.00,-9.36439144E-4,
605.00,1.28994812E-3,
606.00,-9.75791831E-4,
607.00,-1.23584206E-4,
608.00,6.78170181E-4,
609.00,-5.34934225E-4,
610.00,1.47029897E-3,
611.00,8.83588044E-4,
612.00,-7.20761600E-4,
613.00,-3.44307919E-4,
614.00,8.14546802E-5,
615.00,-3.71030095E-4,
616.00,-1.93781697E-3,
617.00,-1.29899883E-4,
618.00,4.22317360E-4,
619.00,-1.51838106E-3,
620.00,2.83399480E-4,
621.00,4.51687447E-5,
622.00,-1.37218146E-3,
623.00,1.28677988E-3,
624.00,6.74976327E-4,
625.00,1.38236515E-4,
626.00,-5.23876981E-4,
627.00,-1.55762106E-3,
628.00,-1.12546571E-4,
629.00,-1.64574347E-4,
630.00,-1.38477643E-3,
631.00,-2.13406165E-3,
632.00,2.70786462E-4,
633.00,-1.15831045E-3,
634.00,-3.50590330E-4,
635.00,-9.15995974E-4,
636.00,6.78200275E-4,
637.00,-5.49115881E-4,
638.00,-5.23937051E-4,
639.00,-1.76823954E-3,
640.00,8.29813187E-4,
641.00,1.90890406E-3,
642.00,-1.72453161E-4,
643.00,1.09380786E-3,
644.00,-5.58580097E-4,
645.00,-5.27061988E-4,
646.00,4.58634808E-4,
647.00,-1.63010598E-4,
648.00,-1.15044951E-3,
649.00,5.46461233E-5,
650.00,-5.45961084E-4,
651.00,8.53534788E-4,
652.00,1.68243400E-3,
653.00,1.08907290E-3,
654.00,1.26777147E-3,
655.00,-7.16076349E-4,
656.00,7.03820333E-5,
657.00,-7.58602284E-4,
658.00,8.94621131E-4,
659.00,-1.53537767E-4,
660.00,-3.55309574E-4,
661.00,3.02364846E-4,
662.00,-1.18975283E-3,
663.00,2.55043298E-4,
664.00,8.96248966E-4,
665.00,-9.56911419E-4,
666.00,-3.15930694E-4,
667.00,-1.39343159E-4,
668.00,-3.63184925E-4,
669.00,-1.95039553E-3,
670.00,8.77433486E-5,
671.00,6.46564469E-4,
672.00,2.66060437E-4,
673.00,4.82336152E-4,
674.00,5.46160372E-5,
675.00,4.57038725E-4,
676.00,8.72494886E-4,
677.00,2.48691998E-4,
678.00,1.13018160E-3,
679.00,-3.25369940E-4,
680.00,2.48691998E-4,
681.00,4.04150924E-5,
682.00,7.67006277E-5,
683.00,8.59894906E-4,
684.00,-7.85359007E-4,
685.00,-1.54509104E-3,
686.00,-1.22020305E-4,
687.00,1.47189887E-3,
688.00,8.75660044E-4,
689.00,6.59188372E-4,
690.00,-9.41152102E-4,
691.00,-1.42500896E-4,
692.00,-1.31402980E-3,
693.00,-1.35016930E-3,
694.00,-1.15987065E-3,
695.00,-2.75200978E-3,
696.00,-5.47523494E-4,
697.00,4.42884833E-4,
698.00,4.96581662E-4,
699.00,4.82336152E-4,
700.00,-1.67731909E-4,
701.00,-3.64747975E-4,
