Labels,VMOF  Air 420 nm 40 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,39996.0000,
Step,4.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

1112.000,2.11947900E-3,
1116.000,-1.42690982E-3,
1120.00,-2.43826595E-4,
1124.000,-2.02718237E-3,
1128.000,-8.46617215E-4,
1132.000,2.72167288E-3,
1136.000,-2.01262976E-3,
1140.00,9.58854333E-4,
1144.000,-1.44097814E-3,
1148.000,-2.00342713E-3,
1152.000,6.99131377E-3,
1156.000,-2.04562838E-3,
1160.00,3.36731737E-3,
1164.000,-2.63400236E-3,
1168.000,-2.03145319E-3,
1172.000,2.19350401E-3,
1176.000,-2.03576614E-3,
1180.00,2.19718902E-3,
1184.000,-6.20430335E-3,
1188.000,1.59730623E-3,
1192.000,9.32019146E-4,
1196.000,-5.01172384E-3,
1200.00,-2.41341346E-4,
1204.000,6.35227375E-3,
1208.000,-4.98893531E-3,
1212.000,9.61538870E-4,
1216.000,3.92718619E-4,
1220.00,-8.43560963E-4,
1224.000,-5.55679854E-3,
1228.000,-8.54387414E-4,
1232.000,-1.42018928E-3,
1236.000,1.54609012E-3,
1240.00,9.50242975E-4,
1244.000,3.76949814E-4,
1248.000,-5.01558930E-3,
1252.000,-1.44383137E-3,
1256.000,-8.24866875E-4,
1260.00,2.17173900E-3,
1264.000,6.96394639E-3,
1268.000,-1.43447309E-3,
1272.000,9.76183452E-4,
1276.000,-2.41402930E-4,
1280.00,-5.56643726E-3,
1284.000,-2.62273196E-3,
1288.000,1.53210061E-3,
1292.000,1.56020443E-3,
1296.000,3.58707883E-4,
1300.00,-3.85273504E-3,
1304.000,-4.39148908E-3,
1308.000,-8.31053767E-4,
1312.000,9.70933004E-4,
1316.000,-3.82153969E-3,
1320.00,-3.84504627E-3,
1324.000,-1.42377918E-3,
1328.000,-3.77410138E-3,
1332.000,9.24799882E-4,
1336.000,-2.62492773E-4,
1340.00,9.59525874E-4,
1344.000,-2.58568162E-3,
1348.000,1.53680693E-3,
1352.000,-8.09320249E-4,
1356.000,-3.79985431E-3,
1360.00,-2.04051635E-3,
1364.000,-8.51211022E-4,
1368.000,-1.43904448E-3,
1372.000,5.14749112E-3,
1376.000,-3.24878586E-3,
1380.00,-8.41845234E-4,
1384.000,3.42946994E-4,
1388.000,-2.04127282E-3,
1392.000,-1.42437138E-3,
1396.000,-2.13595180E-4,
1400.00,-3.24398326E-3,
1404.000,-2.59960419E-3,
1408.000,3.96206742E-3,
1412.000,3.63182975E-4,
1416.000,2.75896653E-3,
1420.00,-8.34192615E-4,
1424.000,-2.27372526E-4,
1428.000,-1.48042559E-3,
1432.000,-8.56901333E-3,
1436.000,-2.66779377E-3,
1440.00,3.35004251E-3,
1444.000,-8.37231230E-4,
1448.000,3.41417472E-4,
1452.000,-2.66017439E-3,
1456.000,-4.43817070E-3,
1460.00,3.76972661E-4,
1464.000,1.54151907E-3,
1468.000,2.72864127E-3,
1472.000,-3.77506716E-3,
1476.000,2.14083027E-3,
1480.00,-2.02192995E-3,
1484.000,-2.00780458E-3,
1488.000,3.32048367E-4,
1492.000,-2.02227896E-3,
1496.000,-2.53040635E-4,
1500.00,5.13263466E-3,
1504.000,2.12969398E-3,
1508.000,-1.99886505E-3,
1512.000,-1.41649810E-3,
1516.000,2.14667688E-3,
1520.00,3.87404405E-4,
1524.000,9.70234163E-4,
1528.000,-3.18460353E-3,
1532.000,-1.46305468E-3,
1536.000,-8.32548307E-4,
1540.00,2.75330641E-3,
1544.000,-1.98462885E-3,
1548.000,-1.40523713E-3,
1552.000,-3.85470479E-3,
1556.000,1.57775520E-3,
1560.00,3.38261877E-3,
1564.000,-4.42766258E-3,
1568.000,-3.82095505E-3,
1572.000,-5.64293331E-3,
1576.000,3.69092537E-4,
1580.00,-2.61165504E-3,
1584.000,-1.42049917E-3,
1588.000,3.58402292E-4,
1592.000,-6.83277985E-3,
1596.000,9.58206889E-4,
1600.00,2.76732002E-3,
1604.000,-2.27417127E-4,
1608.000,9.71575209E-4,
1612.000,-8.54511280E-4,
1616.000,-2.60236207E-3,
1620.00,-4.40082978E-3,
1624.000,-2.61811679E-3,
1628.000,-2.63488130E-3,
1632.000,-1.41051423E-3,
1636.000,9.49519279E-4,
1640.00,-2.64233211E-3,
1644.000,-1.39195367E-3,
1648.000,9.40743252E-4,
1652.000,-4.44380194E-3,
1656.000,-8.28018819E-4,
1660.00,-2.90299708E-4,
1664.000,-3.23010236E-3,
1668.000,-2.00789305E-3,
1672.000,-3.21723917E-3,
1676.000,-1.42365647E-3,
1680.00,-7.37545826E-3,
1684.000,5.75640751E-3,
1688.000,5.15722483E-3,
1692.000,-3.21796280E-3,
1696.000,4.54790564E-3,
1700.00,2.20693229E-3,
1704.000,-4.43092966E-3,
1708.000,5.73789468E-3,
1712.000,1.53680285E-3,
1716.000,-8.37398111E-4,
1720.00,3.30439740E-4,
1724.000,-1.41132122E-3,
1728.000,1.55045511E-3,
1732.000,-2.32073449E-4,
1736.000,-8.48015421E-4,
1740.00,-1.44855713E-3,
1744.000,3.93221714E-3,
1748.000,1.54106005E-3,
1752.000,-1.42667466E-3,
1756.000,2.15106853E-3,
1760.00,3.51965253E-4,
1764.000,3.69304820E-4,
1768.000,6.36819936E-3,
1772.000,2.11762753E-3,
1776.000,9.78764379E-4,
1780.00,5.12765208E-3,
1784.000,-8.21658759E-4,
