Labels,MOF 2 O2  420 nm 20 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,19998.0000,
Step,2.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

974.00,-5.97376784E-4,
976.00,1.88117294E-4,
978.00,-3.43984459E-4,
980.00,9.87514155E-4,
982.00,7.27147621E-4,
984.00,-1.71498163E-3,
986.00,-6.34842218E-5,
988.00,-6.09850453E-4,
990.00,-1.37730222E-3,
992.00,-9.08715767E-4,
994.00,-3.43814172E-5,
996.00,-1.42086053E-3,
998.00,-3.12879565E-4,
1000.00,-8.92095501E-4,
1002.000,9.60449164E-4,
1004.000,2.34200503E-3,
1006.000,7.45896075E-4,
1008.000,6.89692737E-4,
1010.00,9.66688676E-4,
1012.000,-1.37315178E-3,
1014.000,-5.95317630E-4,
1016.000,3.13072139E-3,
1018.000,7.39620009E-4,
1020.00,-3.25321773E-4,
1022.000,4.62729164E-4,
1024.000,7.16740964E-4,
1026.000,1.90219886E-4,
1028.000,-1.41461554E-3,
1030.00,-9.05235065E-5,
1032.000,-8.79629923E-4,
1034.000,7.31318258E-4,
1036.000,-4.06462168E-5,
1038.000,-1.68393529E-3,
1040.00,-5.66250412E-4,
1042.000,4.48160863E-4,
1044.000,-1.95723306E-3,
1046.000,-1.41046545E-3,
1048.000,-3.14940087E-4,
1050.00,-6.97089563E-5,
1052.000,9.89620690E-4,
1054.000,-6.05653040E-4,
1056.000,-3.31582385E-4,
1058.000,-5.72593999E-5,
1060.00,1.75660709E-4,
1062.000,-6.18166057E-4,
1064.000,-7.80745468E-5,
1066.000,1.21264474E-3,
1068.000,-1.13891950E-3,
1070.00,1.94345732E-4,
1072.000,-6.35238757E-5,
1074.000,-1.69013685E-3,
1076.000,-5.93607838E-5,
1078.000,-6.07791357E-4,
1080.00,-8.42594236E-5,
1082.000,2.04739874E-4,
1084.000,-8.63048190E-4,
1086.000,-2.72439816E-3,
1088.000,7.16740964E-4,
1090.00,-1.41674990E-3,
1092.000,-1.66319695E-3,
1094.000,-8.60990258E-4,
1096.000,2.17276654E-4,
1098.000,1.76967133E-3,
1100.00,-1.11609837E-3,
1102.000,-1.39184855E-3,
1104.000,2.23465831E-4,
1106.000,-6.26441906E-4,
1108.000,-5.89060772E-4,
1110.00,4.58600756E-4,
1112.000,-4.89330632E-5,
1114.000,-1.68812228E-3,
1116.000,-1.66943832E-3,
1118.000,2.33900340E-4,
1120.00,-3.50244809E-4,
1122.000,-3.35703255E-4,
1124.000,-3.31542775E-4,
1126.000,9.85447550E-4,
1128.000,-1.38145278E-3,
1130.00,1.79786424E-4,
1132.000,7.47961632E-4,
1134.000,9.41691396E-4,
1136.000,2.32318742E-3,
1138.000,-1.13271002E-3,
1140.00,-1.12025137E-3,
1142.000,-1.39805430E-3,
1144.000,1.54214283E-3,
1146.000,-6.43072301E-4,
1148.000,-1.40635471E-3,
1150.00,9.95860551E-4,
1152.000,-3.24058696E-3,
1154.000,2.02676893E-4,
1156.000,-6.43032661E-4,
1158.000,-2.46191374E-3,
1160.00,4.71105188E-4,
1162.000,1.01668749E-3,
1164.000,-8.81727377E-4,
1166.000,1.90180217E-4,
1168.000,-8.31940852E-4,
1170.00,-1.38354779E-3,
1172.000,1.92203457E-4,
1174.000,1.26891583E-3,
1176.000,1.78424420E-3,
1178.000,2.35871016E-3,
1180.00,1.23765762E-3,
1182.000,-1.14516832E-3,
1184.000,1.98550959E-4,
1186.000,-2.45777355E-3,
1188.000,1.23972551E-3,
1190.00,1.28557975E-3,
1192.000,7.16740964E-4,
1194.000,1.23348203E-3,
1196.000,-5.31359001E-5,
