Labels,MOF 3 O2 420 nm 10 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9999.000,
Step,1.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

486.00,9.98881413E-4,
487.00,-8.59041393E-5,
488.00,-1.15318631E-3,
489.00,1.07369204E-4,
490.00,5.71904588E-4,
491.00,-1.12355221E-3,
492.00,-1.30968203E-3,
493.00,1.20916241E-3,
494.00,-1.33110513E-3,
495.00,-3.02234199E-4,
496.00,-5.00297931E-4,
497.00,3.46984947E-4,
498.00,-1.35249563E-3,
499.00,-2.60985806E-4,
500.00,-1.96464919E-3,
501.00,-9.50515736E-4,
502.00,-7.14723079E-4,
503.00,-2.37872388E-4,
504.00,-5.21729467E-4,
505.00,5.58654079E-4,
506.00,-4.59005358E-4,
507.00,1.44116767E-3,
508.00,-5.28338074E-4,
509.00,5.66919800E-4,
510.00,9.64081322E-4,
511.00,1.44777470E-3,
512.00,3.20529623E-4,
513.00,-2.93984835E-4,
514.00,-8.42660593E-5,
515.00,9.97207593E-4,
516.00,3.46984947E-4,
517.00,-7.03178637E-4,
518.00,-7.43744313E-5,
519.00,-1.29485491E-3,
520.00,1.25522536E-4,
521.00,3.48656205E-4,
522.00,7.70457962E-4,
523.00,5.96702972E-4,
524.00,-9.58585078E-5,
525.00,3.51967174E-4,
526.00,5.70264005E-4,
527.00,-1.09225046E-3,
528.00,-2.95653619E-4,
529.00,2.50651781E-3,
530.00,-1.11531850E-3,
531.00,-6.96572650E-4,
532.00,-1.73769146E-3,
533.00,3.37083708E-4,
534.00,-7.31237174E-4,
535.00,-7.77136665E-5,
536.00,7.85324723E-4,
537.00,1.23074278E-3,
538.00,1.21415453E-3,
539.00,-4.96128669E-5,
540.00,-9.25194108E-5,
541.00,1.40468834E-3,
542.00,-1.11861830E-3,
543.00,-5.12195766E-5,
544.00,-6.77588832E-5,
545.00,-9.91345732E-5,
546.00,1.51965985E-4,
547.00,-5.78353756E-5,
548.00,5.75185695E-4,
549.00,1.82584056E-3,
550.00,-1.14991819E-3,
551.00,-1.12355221E-3,
552.00,1.21080538E-3,
553.00,1.20091601E-3,
554.00,-6.68543333E-4,
555.00,-9.08813527E-5,
556.00,7.78664602E-4,
557.00,-9.05996014E-4,
558.00,1.62019441E-3,
559.00,2.26900191E-3,
560.00,1.23238575E-3,
561.00,-5.21729467E-4,
562.00,-1.51055236E-3,
563.00,-7.43744313E-5,
564.00,1.84574293E-3,
565.00,-8.86187074E-4,
566.00,7.62156793E-4,
567.00,-4.83806536E-4,
568.00,-1.80512597E-3,
569.00,7.86966120E-4,
570.00,-3.15458048E-4,
571.00,1.37089373E-4,
572.00,-2.79926788E-3,
573.00,-1.10705313E-3,
574.00,-1.13671971E-3,
575.00,-4.96961933E-4,
576.00,-5.78668769E-5,
577.00,-1.10875024E-3,
578.00,-1.34919770E-3,
579.00,-4.88716236E-4,
580.00,-2.92316050E-4,
581.00,1.42627838E-3,
582.00,-6.60892256E-5,
583.00,1.10646833E-4,
584.00,3.53606913E-4,
585.00,-2.85735325E-4,
586.00,-7.01511395E-4,
587.00,-9.17535101E-4,
588.00,-2.77454150E-4,
589.00,7.82010437E-4,
590.00,1.62019441E-3,
591.00,7.86997669E-4,
592.00,1.00049202E-3,
593.00,1.01542985E-3,
594.00,1.02370419E-3,
595.00,2.67602969E-3,
596.00,9.70712688E-4,
597.00,-5.45589937E-5,
598.00,-4.73892549E-4,
599.00,1.18932081E-3,
600.00,5.76857827E-4,
601.00,1.64176361E-3,
602.00,-7.60125477E-5,
603.00,5.63638750E-4,
604.00,7.70457962E-4,
605.00,2.25569960E-3,
606.00,3.53620900E-3,
607.00,1.46105234E-3,
608.00,-5.03539457E-4,
609.00,-8.59356369E-5,
610.00,1.43708152E-4,
611.00,-6.94285263E-5,
612.00,2.04155571E-3,
613.00,-2.62654707E-4,
614.00,2.69929995E-3,
615.00,5.53732563E-4,
616.00,2.68268725E-3,
617.00,1.19759853E-3,
618.00,1.20922562E-3,
619.00,7.80369097E-4,
620.00,3.48687725E-4,
621.00,-2.77454150E-4,
622.00,-5.95050587E-5,
623.00,-9.38946090E-4,
