Labels,MOF 2 430nm 1000 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9.999E005,
Step,100.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

3.31E04,1.28828548E-3,
3.32E04,1.28466741E-3,
3.33E04,1.28476718E-3,
3.34E04,-2.02922849E-3,
3.35E04,6.21111132E-4,
3.36E04,3.95342894E-3,
3.37E04,5.28730918E-3,
3.38E04,-1.35907787E-3,
3.39E04,2.61345226E-3,
3.4E04,-6.71754731E-3,
3.41E04,1.95084454E-3,
3.42E04,5.27607789E-3,
3.43E04,-1.36818294E-3,
3.44E04,-3.34840734E-3,
3.45E04,1.28569489E-3,
3.46E04,1.28574460E-3,
3.47E04,2.61955964E-3,
3.48E04,-3.34845646E-3,
3.49E04,-5.83766487E-5,
3.5E04,6.21061597E-4,
3.51E04,-4.04755338E-5,
3.52E04,5.27602853E-3,
3.53E04,1.28676556E-3,
3.54E04,3.94282350E-3,
3.55E04,-2.04050750E-3,
3.56E04,-3.37124057E-3,
3.57E04,-4.04100120E-3,
3.58E04,4.60427348E-3,
3.59E04,6.21111132E-4,
3.6E04,3.27762915E-3,
3.61E04,-1.38194603E-3,
3.62E04,-7.06080406E-4,
3.63E04,-2.02371366E-3,
3.64E04,1.94988388E-3,
3.65E04,7.92602263E-3,
3.66E04,-1.36362365E-3,
3.67E04,3.28526367E-3,
3.68E04,7.92602263E-3,
3.69E04,-3.78930672E-5,
3.7E04,-6.03298098E-3,
3.71E04,1.28727383E-3,
3.72E04,3.28271114E-3,
3.73E04,3.29039246E-3,
3.74E04,3.94277414E-3,
3.75E04,3.94984987E-3,
3.76E04,-7.39146536E-3,
3.77E04,1.28676556E-3,
3.78E04,1.95089402E-3,
3.79E04,-1.38656190E-3,
3.8E04,-3.78930672E-5,
3.81E04,6.19579689E-4,
3.82E04,6.21210260E-4,
3.83E04,-2.71578436E-3,
3.84E04,2.61502154E-3,
3.85E04,-2.05170666E-3,
3.86E04,4.59977053E-3,
3.87E04,-2.02922849E-3,
3.88E04,1.94988388E-3,
3.89E04,1.28732319E-3,
3.9E04,6.21111249E-4,
3.91E04,9.91144683E-3,
3.92E04,1.28518196E-3,
3.93E04,3.28782410E-3,
3.94E04,-4.03238507E-3,
3.95E04,-3.28993301E-5,
3.96E04,1.28727383E-3,
3.97E04,-4.81215429E-5,
3.98E04,-2.04607355E-3,
3.99E04,-5.34092356E-3,
4E04,-7.20446580E-4,
4.01E04,3.96066997E-3,
4.02E04,6.25727116E-4,
4.03E04,6.22638036E-4,
4.04E04,-4.69232630E-3,
4.05E04,1.95140135E-3,
4.06E04,3.28271114E-3,
4.07E04,2.62114778E-3,
4.08E04,-4.81215429E-5,
4.09E04,-4.05836245E-3,
4.1E04,6.18043414E-4,
4.11E04,-2.04607355E-3,
4.12E04,1.95191032E-3,
4.13E04,1.28727383E-3,
4.14E04,2.61807535E-3,
4.15E04,-3.37124057E-3,
4.16E04,-4.02369583E-3,
4.17E04,-2.03485973E-3,
4.18E04,-7.06080406E-4,
4.19E04,6.24160224E-4,
4.2E04,-4.30164619E-5,
4.21E04,6.21160783E-4,
4.22E04,5.92440506E-3,
4.23E04,3.94623214E-3,
4.24E04,-7.06080638E-4,
4.25E04,-7.09643064E-4,
4.26E04,1.28823624E-3,
4.27E04,-1.37734425E-3,
4.28E04,-2.04612315E-3,
4.29E04,1.94983452E-3,
4.3E04,-4.03233524E-3,
4.31E04,-4.03233524E-3,
4.32E04,1.95191032E-3,
4.33E04,1.95288321E-3,
4.34E04,5.94429253E-3,
4.35E04,-2.69595440E-3,
4.36E04,2.61654612E-3,
4.37E04,-2.69590481E-3,
4.38E04,6.24209584E-4,
4.39E04,1.95237121E-3,
4.4E04,-4.02369583E-3,
4.41E04,-4.64446470E-3,
4.42E04,-6.00955402E-3,
4.43E04,-7.09643064E-4,
4.44E04,-1.36823265E-3,
4.45E04,3.28011671E-3,
4.46E04,-5.36218612E-3,
4.47E04,-7.02528865E-4,
4.48E04,2.62264139E-3,
4.49E04,-3.78930672E-5,
4.5E04,1.28625589E-3,
4.51E04,-2.68936809E-3,
4.52E04,-6.02122489E-3,
4.53E04,5.29860985E-3,
4.54E04,4.61346982E-3,
4.55E04,1.28523167E-3,
4.56E04,-1.40049495E-3,
4.57E04,-4.29668289E-5,
4.58E04,3.28266155E-3,
4.59E04,1.28676556E-3,
4.6E04,1.95140135E-3,
4.61E04,1.28630549E-3,
4.62E04,-2.68936809E-3,
4.63E04,2.61355122E-3,
4.64E04,-2.03485973E-3,
4.65E04,1.95242092E-3,
4.66E04,-7.13216665E-4,
4.67E04,-7.09593645E-4,
4.68E04,-7.16801267E-4,
4.69E04,6.18043414E-4,
4.7E04,3.96062015E-3,
4.71E04,-2.02371366E-3,
4.72E04,5.94424317E-3,
4.73E04,-1.35459530E-3,
4.74E04,1.28732331E-3,
4.75E04,-4.02369583E-3,
4.76E04,-2.72913976E-3,
4.77E04,-4.03238460E-3,
4.78E04,6.21111132E-4,
4.79E04,2.61497218E-3,
4.8E04,-3.37894773E-3,
4.81E04,9.27726924E-3,
4.82E04,-5.06362849E-5,
4.83E04,6.16552134E-4,
4.84E04,-4.72152652E-3,
4.85E04,2.61802576E-3,
4.86E04,-4.73123556E-3,
4.87E04,9.28897969E-3,
4.88E04,-4.02369583E-3,
4.89E04,1.95033883E-3,
4.9E04,-2.04045791E-3,
4.91E04,-4.00649616E-3,
4.92E04,1.28732319E-3,
4.93E04,-4.04755338E-5,
4.94E04,-4.66359081E-3,
4.95E04,-2.68275291E-3,
4.96E04,-1.35907787E-3,
4.97E04,-6.03298098E-3,
4.98E04,1.95135188E-3,
4.99E04,-8.06643069E-3,
5E04,-3.36360605E-3,
5.01E04,1.28625589E-3,
5.02E04,1.28574460E-3,
5.03E04,5.28730918E-3,
5.04E04,-2.03480991E-3,
5.05E04,1.95293291E-3,
5.06E04,-3.37124057E-3,
5.07E04,1.28873985E-3,
5.08E04,3.94272432E-3,
5.09E04,-5.32582671E-5,
5.1E04,6.28699025E-4,
5.11E04,-1.38199585E-3,
5.12E04,-3.38662951E-3,
5.13E04,-7.24053418E-4,
5.14E04,-3.37124057E-3,
5.15E04,1.28782983E-3,
5.16E04,-4.03233524E-3,
5.17E04,-6.69201929E-3,
5.18E04,-4.04100120E-3,
5.19E04,3.28016630E-3,
5.2E04,-1.37734425E-3,
5.21E04,-2.01263535E-3,
5.22E04,-2.04040855E-3,
5.23E04,-7.16751441E-4,
5.24E04,-2.03480991E-3,
5.25E04,-4.02369583E-3,
5.26E04,-7.35015888E-3,
5.27E04,1.28676556E-3,
5.28E04,-4.67317272E-3,
5.29E04,4.59518237E-3,
5.3E04,1.95396179E-3,
5.31E04,6.18093065E-4,
5.32E04,6.22638036E-4,
5.33E04,1.28625589E-3,
5.34E04,4.62267362E-3,
5.35E04,-4.56147027E-5,
5.36E04,-2.04045791E-3,
5.37E04,-2.71583418E-3,
5.38E04,-7.06129998E-4,
5.39E04,-4.04755338E-5,
5.4E04,6.22638036E-4,
5.41E04,-7.16751441E-4,
5.42E04,-3.37124057E-3,
5.43E04,-4.00649710E-3,
5.44E04,-1.36818329E-3,
5.45E04,-3.54170988E-5,
5.46E04,3.94633133E-3,
5.47E04,-1.38651195E-3,
5.48E04,-7.09692773E-4,
5.49E04,1.95288321E-3,
5.5E04,-3.40211322E-3,
5.51E04,-5.35146426E-3,
5.52E04,-6.02122443E-3,
5.53E04,-3.38662951E-3,
5.54E04,-7.36380275E-3,
5.55E04,6.18043414E-4,
5.56E04,-1.39124168E-3,
5.57E04,3.94633133E-3,
5.58E04,1.28523167E-3,
5.59E04,3.28266155E-3,
5.6E04,-4.04974306E-3,
5.61E04,7.31879938E-3,
5.62E04,-5.31585829E-5,
5.63E04,-4.02369583E-3,
5.64E04,-1.36362365E-3,
5.65E04,-3.37119051E-3,
5.66E04,-2.03485927E-3,
5.67E04,1.28523167E-3,
5.68E04,-4.81215429E-5,
5.69E04,-2.04607355E-3,
5.7E04,1.95293291E-3,
5.71E04,-1.38194603E-3,
5.72E04,-1.36367290E-3,
5.73E04,3.93917831E-3,
5.74E04,3.28276050E-3,
5.75E04,6.10340794E-4,
5.76E04,2.61654612E-3,
5.77E04,-2.70913774E-3,
5.78E04,-2.68931850E-3,
5.79E04,6.25727116E-4,
5.8E04,3.28777428E-3,
5.81E04,6.21111132E-4,
5.82E04,-2.68280180E-3,
5.83E04,4.61342046E-3,
5.84E04,-3.79423618E-5,
5.85E04,3.29029281E-3,
5.86E04,-7.06129998E-4,
5.87E04,-2.02371366E-3,
5.88E04,-6.05645264E-3,
5.89E04,1.28523167E-3,
5.9E04,3.28782410E-3,
5.91E04,-7.02479272E-4,
5.92E04,-7.24003650E-4,
5.93E04,-2.05735699E-3,
5.94E04,-7.13216665E-4,
5.95E04,1.28833484E-3,
5.96E04,-2.02932768E-3,
5.97E04,-3.38657992E-3,
5.98E04,2.61345226E-3,
5.99E04,-4.03233524E-3,
6E04,-4.02374566E-3,
6.01E04,-6.73037022E-3,
6.02E04,-7.31300446E-4,
6.03E04,-4.02369583E-3,
6.04E04,5.95082995E-3,
6.05E04,-6.69206912E-3,
6.06E04,5.94429253E-3,
6.07E04,-5.38357906E-3,
6.08E04,-1.37734425E-3,
6.09E04,-7.06080406E-4,
6.1E04,5.24824858E-3,
6.11E04,-2.73584784E-3,
6.12E04,-2.03480991E-3,
6.13E04,-1.36813370E-3,
6.14E04,6.21111132E-4,
6.15E04,-4.68283379E-3,
6.16E04,-5.06861470E-5,
6.17E04,1.94933184E-3,
